Unnamed: 0,cluster_label,silhouette_score,davies_bouldin_score,calinski_harabasz_score,clusters_in_window,win_eps,min_dist_between_points,min_dist_between_centroids,max_dist_in_cluster,first_timestamp,last_timestamp,win_number,cluster_size,points,Selected EPS,new_cluster_label,avg_height,turn_rate,bearing,trajectory_curvature,angular_acceleration,angular_velocity,distance_traveled,displacement,jerk,vertical_acceleration,up_down_direction,angle_to_horizon,average_speed,average_velocity_magnitude,average_velocity_direction
193,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,11.388155971589798,2012-02-18 17:05:12,2012-02-18 17:55:12,333,11.0,"[[1329584712.0, 38.903144, 2.218288, 350.6], [1329585010.0, 38.903141, 2.218283, 347.3], [1329585312.0, 38.903177, 2.218297, 352.3], [1329585611.0, 38.90314, 2.218283, 350.7], [1329585911.0, 38.90315, 2.218315, 351.1], [1329586212.0, 38.903145, 2.218299, 350.2], [1329586511.0, 38.903166, 2.218291, 355.2], [1329586812.0, 38.903176, 2.218302, 357.6], [1329587112.0, 38.903163, 2.218316, 357.8], [1329587411.0, 38.90315, 2.218301, 354.7], [1329587712.0, 38.903148, 2.21831, 350.7]]",200.0,193,352.56363636363636,513.8728109190321,178.22605968483498,1.3303281417754076,115.58108935957708,49.32510363813515,39.0198176601735,2.4883447235241016,-13.45274727729021,0.018016252844645565,0.40368671387966554,-4.016943954780855,13.005178940435746,13.005178940435746,178.22605968483498
194,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,10.643426252759406,2012-02-18 17:25:11,2012-02-18 18:20:11,334,12.0,"[[1329585911.0, 38.90315, 2.218315, 351.1], [1329586212.0, 38.903145, 2.218299, 350.2], [1329586511.0, 38.903166, 2.218291, 355.2], [1329586812.0, 38.903176, 2.218302, 357.6], [1329587112.0, 38.903163, 2.218316, 357.8], [1329587411.0, 38.90315, 2.218301, 354.7], [1329587712.0, 38.903148, 2.21831, 350.7], [1329588046.0, 38.903128, 2.218306, 348.4], [1329588309.0, 38.903093, 2.218324, 354.1], [1329588611.0, 38.903146, 2.218302, 350.7], [1329588911.0, 38.903142, 2.218321, 351.3], [1329589211.0, 38.903125, 2.218333, 349.9]]",200.0,194,352.64166666666665,420.9798332755463,232.5282073831793,0.6616885494284898,47.577223815754486,25.431191481870886,43.22429421568307,3.6279682610369526,-12.49521981255655,-0.03842133442624322,-0.2595495470347952,-4.975440572211526,13.29080454342024,13.29080454342024,232.5282073831793
195,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,13.432708829963763,2012-02-18 17:45:12,2012-02-18 18:40:11,335,12.0,"[[1329587112.0, 38.903163, 2.218316, 357.8], [1329587411.0, 38.90315, 2.218301, 354.7], [1329587712.0, 38.903148, 2.21831, 350.7], [1329588046.0, 38.903128, 2.218306, 348.4], [1329588309.0, 38.903093, 2.218324, 354.1], [1329588611.0, 38.903146, 2.218302, 350.7], [1329588911.0, 38.903142, 2.218321, 351.3], [1329589211.0, 38.903125, 2.218333, 349.9], [1329589511.0, 38.903129, 2.218315, 354.7], [1329589812.0, 38.903115, 2.218319, 350.4], [1329590111.0, 38.903107, 2.218313, 345.9], [1329590411.0, 38.903153, 2.218325, 349.3]]",200.0,195,351.4916666666666,401.61852921562564,241.10182276781933,-6.233395799472663,-74.60535425338522,-58.87449547628762,51.24982930069356,8.630532308431867,5.545969835040041,-2.254331477535558,-0.4615930911724977,-12.191800423304555,15.722210294022405,15.722210294022405,241.10182276781933
196,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,10.353239343332802,2012-02-18 18:00:46,2012-02-18 19:00:10,336,13.0,"[[1329588046.0, 38.903128, 2.218306, 348.4], [1329588309.0, 38.903093, 2.218324, 354.1], [1329588611.0, 38.903146, 2.218302, 350.7], [1329588911.0, 38.903142, 2.218321, 351.3], [1329589211.0, 38.903125, 2.218333, 349.9], [1329589511.0, 38.903129, 2.218315, 354.7], [1329589812.0, 38.903115, 2.218319, 350.4], [1329590111.0, 38.903107, 2.218313, 345.9], [1329590411.0, 38.903153, 2.218325, 349.3], [1329590718.0, 38.903138, 2.218329, 355.5], [1329591012.0, 38.903108, 2.21833, 349.2], [1329591312.0, 38.903125, 2.218307, 349.8], [1329591610.0, 38.903146, 2.21832, 350.8]]",200.0,196,350.7692307692308,422.221512346101,215.30751006982976,-9.007348038852605,55.13161380175311,-81.58414325450578,59.80725531044803,3.4904784851503243,1.7999888136554432,0.8223403185239221,-0.05128205128205127,1.3730090400798645,16.885764912669718,16.885764912669718,215.30751006982976
197,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,10.353239343332802,2012-02-18 18:25:11,2012-02-18 19:00:10,337,8.0,"[[1329589511.0, 38.903129, 2.218315, 354.7], [1329589812.0, 38.903115, 2.218319, 350.4], [1329590111.0, 38.903107, 2.218313, 345.9], [1329590411.0, 38.903153, 2.218325, 349.3], [1329590718.0, 38.903138, 2.218329, 355.5], [1329591012.0, 38.903108, 2.21833, 349.2], [1329591312.0, 38.903125, 2.218307, 349.8], [1329591610.0, 38.903146, 2.21832, 350.8]]",200.0,197,350.70000000000005,360.8649185124611,193.29430644540753,-9.76293908189857,-18.26533794392713,-128.00549106052878,35.23227157879377,4.368871729621427,-1.3534677174259229,-1.9828535953760478,0.0,-3.8527023604471107,16.786121771386146,16.786121771386146,193.29430644540753
198,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,7.1283639279143625,2012-02-18 18:45:18,2012-02-18 19:00:10,338,4.0,"[[1329590718.0, 38.903138, 2.218329, 355.5], [1329591012.0, 38.903108, 2.21833, 349.2], [1329591312.0, 38.903125, 2.218307, 349.8], [1329591610.0, 38.903146, 2.21832, 350.8]]",200.0,198,351.325,360.5147806557226,157.8943904363608,-22.18982185812805,146.35811841082915,-360.5147806557226,13.285205229583273,4.886884447104911,144.59989330794957,-5.357622243528272,0.0,-4.022563866008114,14.944764624103156,14.944764624103156,157.8943904363608
199,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,5.626196396938192,2012-02-19 02:00:50,2012-02-19 02:20:10,358,5.0,"[[1329616850.0, 38.9031, 2.218299, 348.8], [1329617110.0, 38.903082, 2.218294, 344.5], [1329617410.0, 38.903093, 2.218293, 347.5], [1329617710.0, 38.903111, 2.218291, 349.1], [1329618010.0, 38.903096, 2.218288, 346.7]]",200.0,199,347.32000000000005,385.83616375093135,176.17245606281608,10.047526344131528,577.1372392263606,-22.539492964148963,13.5279976717565,2.470549395048694,60.86233921353542,-2.3012820512820724,0.0,-1.6349106751575189,11.885490982652952,11.885490982652952,176.17245606281608
200,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,6.849300029617068,2012-02-19 02:00:50,2012-02-19 02:40:12,359,9.0,"[[1329616850.0, 38.9031, 2.218299, 348.8], [1329617110.0, 38.903082, 2.218294, 344.5], [1329617410.0, 38.903093, 2.218293, 347.5], [1329617710.0, 38.903111, 2.218291, 349.1], [1329618010.0, 38.903096, 2.218288, 346.7], [1329618311.0, 38.903098, 2.218299, 345.4], [1329618610.0, 38.903109, 2.218297, 347.6], [1329618911.0, 38.903092, 2.218302, 342.7], [1329619212.0, 38.903106, 2.218294, 343.7]]",200.0,200,346.22222222222223,494.3563964704217,152.68301019503843,5.403882464091741,8.782662719748979,-75.39382389984247,25.18616857436949,5.173350571107012,-1.9586274102691779,-2.3903770227076704,-0.3888888888888889,-2.2782140225400704,10.79119677631192,10.79119677631192,152.68301019503843
201,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,8.734958056812921,2012-02-19 02:00:50,2012-02-19 03:00:11,360,13.0,"[[1329616850.0, 38.9031, 2.218299, 348.8], [1329617110.0, 38.903082, 2.218294, 344.5], [1329617410.0, 38.903093, 2.218293, 347.5], [1329617710.0, 38.903111, 2.218291, 349.1], [1329618010.0, 38.903096, 2.218288, 346.7], [1329618311.0, 38.903098, 2.218299, 345.4], [1329618610.0, 38.903109, 2.218297, 347.6], [1329618911.0, 38.903092, 2.218302, 342.7], [1329619212.0, 38.903106, 2.218294, 343.7], [1329619512.0, 38.903102, 2.218306, 342.0], [1329619811.0, 38.90312, 2.218304, 350.5], [1329620111.0, 38.903091, 2.218293, 343.1], [1329620411.0, 38.903109, 2.218291, 344.9]]",200.0,201,345.88461538461536,548.6992506667788,167.0787773736511,3.0495239237282306,9.605522510134074,-55.14277860549831,46.990650183589054,4.123266267645869,-9.711288229051775,-1.2523546557924796,-0.282051282051282,-1.6768676226734993,13.259046605253452,13.259046605253452,167.0787773736511
202,0.0,0.0145594144390791,1.3105784544100954,2.524013862463005,2.0,200.0,inf,inf,11.08326086905801,2012-02-19 02:25:11,2012-02-19 03:05:10,361,9.0,"[[1329618311.0, 38.903098, 2.218299, 345.4], [1329618610.0, 38.903109, 2.218297, 347.6], [1329618911.0, 38.903092, 2.218302, 342.7], [1329619212.0, 38.903106, 2.218294, 343.7], [1329619512.0, 38.903102, 2.218306, 342.0], [1329619811.0, 38.90312, 2.218304, 350.5], [1329620111.0, 38.903091, 2.218293, 343.1], [1329620411.0, 38.903109, 2.218291, 344.9], [1329620710.0, 38.903092, 2.218355, 341.5]]",200.0,202,344.6,654.3545065426882,204.38664843388264,18.566311643480976,33.75566439626971,117.03470907331595,39.77391598860052,7.377596481722055,16.242044038786492,-1.6094285306873672,-0.2777777777777778,-0.05890260470553654,16.589309047085845,16.589309047085845,204.38664843388264
