epoch,timestamp,location-long,location-lat,height-above-msl
1682693692,2023-04-28 14:54:52,-6.4827016,37.426528,179.74
1682693812,2023-04-28 14:56:52,-6.482766,37.4269024,200.47
1682693932,2023-04-28 14:58:52,-6.4828368,37.4272032,125.87
1682694056,2023-04-28 15:00:56,-6.4828972,37.4272704,135.51
1682694173,2023-04-28 15:02:53,-6.4831668,37.428112,9.23
1682694292,2023-04-28 15:04:52,-6.4833096,37.42736,54.54
1682694412,2023-04-28 15:06:52,-6.4842032,37.4284032,45.76
1682694536,2023-04-28 15:08:56,-6.484364,37.4284256,91.58
1682694653,2023-04-28 15:10:53,-6.484276,37.428048,151.73
1682694773,2023-04-28 15:12:53,-6.4844132,37.4284512,91.15
1682694893,2023-04-28 15:14:53,-6.4834508,37.42808,215.69
1682695016,2023-04-28 15:16:56,-6.4793824,37.4295136,162.89
1682695076,2023-04-28 15:17:56,-6.4794944,37.4294656,183.6
1682695132,2023-04-28 15:18:52,-6.4797432,37.4299008,117.39
1682695203,2023-04-28 15:20:03,-6.4798492,37.4294688,202.75
1682695253,2023-04-28 15:20:53,-6.4793324,37.4292384,202.67
1682695313,2023-04-28 15:21:53,-6.4793596,37.4292672,202.74
1682695373,2023-04-28 15:22:53,-6.4792796,37.429232,202.73
1682695492,2023-04-28 15:24:52,-6.4794356,37.4293824,202.77
1682695612,2023-04-28 15:26:52,-6.4812028,37.4291232,156.72
1682695731,2023-04-28 15:28:51,-6.4823956,37.4281728,272.95
1682695915,2023-04-28 15:31:55,-6.4811572,37.4303296,152.8
1682695972,2023-04-28 15:32:52,-6.4792952,37.42984,152.64
1682696032,2023-04-28 15:33:52,-6.4777604,37.4298144,152.4
1682696092,2023-04-28 15:34:52,-6.4780492,37.4299232,152.29
1682696152,2023-04-28 15:35:52,-6.4779724,37.42992,152.33
1682696211,2023-04-28 15:36:51,-6.4781788,37.4299968,152.59
1682696331,2023-04-28 15:38:51,-6.4779492,37.4298944,99.1
1682696451,2023-04-28 15:40:51,-6.478208,37.4299424,150.49
1682696572,2023-04-28 15:42:52,-6.4777936,37.4298272,111.88
1682696692,2023-04-28 15:44:52,-6.4780636,37.42992,140.38
1682696812,2023-04-28 15:46:52,-6.4778596,37.429808,109.55
1682696931,2023-04-28 15:48:51,-6.478144,37.4298816,155.57
1682697051,2023-04-28 15:50:51,-6.4797468,37.4296288,157.64
1682697171,2023-04-28 15:52:51,-6.4793128,37.429616,128.83
1682697291,2023-04-28 15:54:51,-6.4824568,37.4286272,132.93
1682697411,2023-04-28 15:56:51,-6.482674,37.4286272,143.49
1682697531,2023-04-28 15:58:51,-6.4831452,37.4287936,158.87
1682697651,2023-04-28 16:00:51,-6.4838236,37.4289792,194.28
1682697711,2023-04-28 16:01:51,-6.4829136,37.4288096,133.16
1682697772,2023-04-28 16:02:52,-6.4822008,37.4286144,108.21
1682697831,2023-04-28 16:03:51,-6.481844,37.4278528,147.32
1682697892,2023-04-28 16:04:52,-6.4805096,37.4287488,136.44
1682697952,2023-04-28 16:05:52,-6.4810544,37.4291296,111.53
1682698011,2023-04-28 16:06:51,-6.47963,37.429664,157.41
1682698072,2023-04-28 16:07:52,-6.4796996,37.4295808,131.22
1682698131,2023-04-28 16:08:51,-6.4793352,37.4295456,144.83
1682698192,2023-04-28 16:09:52,-6.4792248,37.429568,127.2
1682698251,2023-04-28 16:10:51,-6.4792556,37.4293024,150.27
1682698312,2023-04-28 16:11:52,-6.4782916,37.43,186.95
1682698371,2023-04-28 16:12:51,-6.4778776,37.4299808,142.62
1682698433,2023-04-28 16:13:53,-6.4778724,37.429808,113.88
1682698492,2023-04-28 16:14:52,-6.4790248,37.429584,117.81
1682698551,2023-04-28 16:15:51,-6.4797292,37.429728,160.39
1682698612,2023-04-28 16:16:52,-6.4789428,37.429584,119.32
1682698672,2023-04-28 16:17:52,-6.4808464,37.4291296,133.1
1682698735,2023-04-28 16:18:55,-6.4809532,37.4293184,128.58
1682698791,2023-04-28 16:19:51,-6.4797696,37.4297152,159.88
1682698861,2023-04-28 16:21:01,-6.4794444,37.4296224,149.96
1682698914,2023-04-28 16:21:54,-6.4807344,37.4298784,248.5
1682698972,2023-04-28 16:22:52,-6.4796368,37.4296672,165.11
1682699031,2023-04-28 16:23:51,-6.479962,37.4296928,188.45
1682699091,2023-04-28 16:24:51,-6.4794604,37.429648,152.9
1682699211,2023-04-28 16:26:51,-6.4796972,37.4296288,164.58
1682699332,2023-04-28 16:28:52,-6.4798664,37.429648,187.22
1682699463,2023-04-28 16:31:03,-6.4793644,37.4295616,133.86
1682699574,2023-04-28 16:32:54,-6.478674,37.4296384,133.83
1682699693,2023-04-28 16:34:53,-6.478796,37.4296128,133.87
1682699823,2023-04-28 16:37:03,-6.4794832,37.4295488,139.32
1682699935,2023-04-28 16:38:55,-6.479636,37.429616,139.37
1682700053,2023-04-28 16:40:53,-6.4784584,37.4297056,139.35
1682700181,2023-04-28 16:43:01,-6.4796604,37.4294272,109.66
1682700292,2023-04-28 16:44:52,-6.4787828,37.42944,109.68
1682700412,2023-04-28 16:46:52,-6.4793652,37.429536,109.7
1682700542,2023-04-28 16:49:02,-6.4794528,37.4295136,126.06
1682700654,2023-04-28 16:50:54,-6.4768356,37.429536,126.1
1682700772,2023-04-28 16:52:52,-6.479124,37.429504,126.09
1682700901,2023-04-28 16:55:01,-6.4792576,37.4296672,160.73
1682701012,2023-04-28 16:56:52,-6.479794,37.4295968,160.73
1682701132,2023-04-28 16:58:52,-6.4794192,37.4296032,160.77
1682701285,2023-04-28 17:01:25,-6.4777704,37.4298912,128.52
1682701370,2023-04-28 17:02:50,-6.4773552,37.4298752,128.29
1682701502,2023-04-28 17:05:02,-6.477808,37.4297664,128.54
1682701612,2023-04-28 17:06:52,-6.4775888,37.4297632,128.54
1682701731,2023-04-28 17:08:51,-6.4783748,37.429728,128.53
1682701850,2023-04-28 17:10:50,-6.4781548,37.4298848,129.04
1682701990,2023-04-28 17:13:10,-6.4779488,37.4298336,123.18
1682702091,2023-04-28 17:14:51,-6.4794776,37.4294752,123.17
1682702210,2023-04-28 17:16:50,-6.4789628,37.4294784,123.18
1682702330,2023-04-28 17:18:50,-6.4793444,37.4294752,116.64
1682702450,2023-04-28 17:20:50,-6.4810184,37.4291712,45.95
1682702571,2023-04-28 17:22:51,-6.4811288,37.4290624,100.32
1682702691,2023-04-28 17:24:51,-6.4813052,37.4288864,214.29
1682702811,2023-04-28 17:26:51,-6.4812664,37.4290624,159.54
1682702930,2023-04-28 17:28:50,-6.4812068,37.4289984,128.3
1682703050,2023-04-28 17:30:50,-6.4813348,37.4291584,127.66
1682703177,2023-04-28 17:32:57,-6.4809216,37.4289056,121.34
1682703291,2023-04-28 17:34:51,-6.4810924,37.4290496,107.36
1682703412,2023-04-28 17:36:52,-6.4811252,37.4290976,92.67
1682703531,2023-04-28 17:38:51,-6.4809252,37.4290336,133.49
1682703650,2023-04-28 17:40:50,-6.4831304,37.428512,302.34
1682703770,2023-04-28 17:42:50,-6.4822976,37.4285024,139.65
1682703891,2023-04-28 17:44:51,-6.4824552,37.4286496,127.35
1682704021,2023-04-28 17:47:01,-6.4825348,37.4287072,107.61
1682704147,2023-04-28 17:49:07,-6.4825632,37.4286144,125.91
1682704268,2023-04-28 17:51:08,-6.4826664,37.4285952,111.81
1682704387,2023-04-28 17:53:07,-6.4825048,37.4286048,97.91
1682704507,2023-04-28 17:55:07,-6.4822532,37.4281984,260.97
1682704623,2023-04-28 17:57:03,-6.4826408,37.4285312,163.05
1682705210,2023-04-28 18:06:50,-6.4823604,37.4282304,134.35
1682705273,2023-04-28 18:07:53,-6.482612,37.4287264,100.16
1682705341,2023-04-28 18:09:01,-6.4826704,37.4286624,93.23
1682705403,2023-04-28 18:10:03,-6.4791436,37.427568,108.14
1682705812,2023-04-28 18:16:52,-6.4792884,37.42744,97.26
1682705873,2023-04-28 18:17:53,-6.478744,37.4270144,146.13
1682705950,2023-04-28 18:19:10,-6.4790452,37.4275104,103.5
1682705991,2023-04-28 18:19:51,-6.4789504,37.4274304,136.54
1682706411,2023-04-28 18:26:51,-6.4789024,37.4273696,142.04
1682707011,2023-04-28 18:36:51,-6.4730244,37.418128,148.28
1682707625,2023-04-28 18:47:05,-6.4745636,37.4168512,142.85
1682708230,2023-04-28 18:57:10,-6.4745632,37.4166336,129.22
1682708816,2023-04-28 19:06:56,-6.4743744,37.4166816,146.88
1682709411,2023-04-28 19:16:51,-6.4792996,37.4250784,58.06
1682710011,2023-04-28 19:26:51,-6.4782976,37.4253088,110.14
1682710610,2023-04-28 19:36:50,-6.4784904,37.4252768,99.69
1682711237,2023-04-28 19:47:17,-6.4821976,37.4272896,110.98
1682712417,2023-04-28 20:06:57,-6.4822504,37.4272704,93.17
1682716037,2023-04-28 21:07:17,-6.4822712,37.427232,101.03
1682719637,2023-04-28 22:07:17,-6.482328,37.4273216,82.49
1682723230,2023-04-28 23:07:10,-6.4822956,37.4272256,105.5
1682726830,2023-04-29 00:07:10,-6.4822808,37.4272448,109.89
